date,open,,high,,low,,close,
2019-02-18 15.00.00.000,1.13217,132170,1.1327,132700,1.13195,131950,1.13217,132170
2019-02-18 16.00.00.000,1.13218,132180,1.13222,132220,1.13045,130450,1.13066,130660
2019-02-18 17.00.00.000,1.1307,130700,1.13133,131330,1.13045,130450,1.1306,130600
2019-02-18 18.00.00.000,1.13059,130590,1.13109,131090,1.13022,130220,1.13108,131080
2019-02-18 19.00.00.000,1.13107,131070,1.13131,131310,1.13072,130720,1.13102,131020
2019-02-18 20.00.00.000,1.13103,131030,1.13124,131240,1.1309,130900,1.1312,131200
2019-02-18 21.00.00.000,1.13119,131190,1.13161,131610,1.13111,131110,1.13141,131410
2019-02-18 22.00.00.000,1.13142,131420,1.13152,131520,1.13076,130760,1.13083,130830
2019-02-18 23.00.00.000,1.13101,131010,1.13105,131050,1.13082,130820,1.13096,130960
2019-02-19 00.00.00.000,1.13097,130970,1.13126,131260,1.13093,130930,1.13114,131140
2019-02-19 01.00.00.000,1.13113,131130,1.13137,131370,1.1303,130300,1.13054,130540
2019-02-19 02.00.00.000,1.13055,130550,1.13071,130710,1.13022,130220,1.1304,130400
2019-02-19 03.00.00.000,1.13039,130390,1.13048,130480,1.12978,129780,1.1301,130100
2019-02-19 04.00.00.000,1.13011,130110,1.1303,130300,1.12937,129370,1.12954,129540
2019-02-19 05.00.00.000,1.12953,129530,1.12981,129810,1.12929,129290,1.12965,129650
2019-02-19 06.00.00.000,1.12964,129640,1.12996,129960,1.12943,129430,1.12993,129930
2019-02-19 07.00.00.000,1.12994,129940,1.12996,129960,1.12934,129340,1.12958,129580
2019-02-19 08.00.00.000,1.12957,129570,1.13051,130510,1.12953,129530,1.12992,129920
2019-02-19 09.00.00.000,1.1299,129900,1.13241,132410,1.12943,129430,1.13216,132160
2019-02-19 10.00.00.000,1.13217,132170,1.13245,132450,1.13008,130080,1.13029,130290
2019-02-19 11.00.00.000,1.1302,130200,1.13141,131410,1.12993,129930,1.13068,130680
2019-02-19 12.00.00.000,1.13069,130690,1.13101,131010,1.12753,127530,1.12829,128290
